# hostname;interval;timestamp;DEV;tps;rkB/s;wkB/s;areq-sz;aqu-sz;await;svctm;%util
potassium;60;1650892623;nvme1n1;2321.27;9152.00;11601.20;8.94;0.66;0.17;0.41;95.18
potassium;60;1650892623;nvme1n1p1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
potassium;60;1650892623;nvme1n1p2;2321.27;9152.00;11601.20;8.94;0.39;0.17;0.41;95.18
potassium;60;1650892623;nvme1n1p3;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
potassium;60;1650892623;nvme0n1;2347.02;9338.60;11680.13;8.96;0.67;0.17;0.41;95.27
potassium;60;1650892623;nvme0n1p1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
potassium;60;1650892623;nvme0n1p2;2347.00;9338.33;11680.13;8.96;0.40;0.17;0.41;95.27
potassium;60;1650892623;nvme0n1p3;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
potassium;60;1650892623;md127;2217.47;17369.53;22751.87;18.09;0.23;0.10;0.43;94.36
potassium;60;1650892623;md126;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
