# hostname;interval;timestamp;DEV;tps;rkB/s;wkB/s;areq-sz;aqu-sz;await;svctm;%util
pgsql1.dbt2.internal;60;1650892623;nvme1n1;2308.80;9001.53;11595.73;8.92;0.66;0.17;0.41;95.17
pgsql1.dbt2.internal;60;1650892623;nvme1n1p1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1650892623;nvme1n1p2;2308.80;9001.53;11595.73;8.92;0.39;0.17;0.41;95.17
pgsql1.dbt2.internal;60;1650892623;nvme1n1p3;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1650892623;nvme0n1;2333.98;9178.40;11672.67;8.93;0.67;0.17;0.41;95.24
pgsql1.dbt2.internal;60;1650892623;nvme0n1p1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1650892623;nvme0n1p2;2333.98;9178.40;11672.67;8.93;0.40;0.17;0.41;95.24
pgsql1.dbt2.internal;60;1650892623;nvme0n1p3;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgsql1.dbt2.internal;60;1650892623;md127;2191.50;17067.87;22742.67;18.17;0.22;0.10;0.43;94.34
pgsql1.dbt2.internal;60;1650892623;md126;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
